(1551925;'Thomas';'27';'11';'2015';1);;
(1551575;'Thomas';'27';'11';'2015';1);;
(1551569;'Vincent';'27';'11';'2015';1);;
(1551558;'Thomas';'27';'11';'2015';1);;
(1551504;'/OU=Domain;Control;Validated/CN=svn.company.net';'27';'11';'2015';1)
(1551486;'Vincent';'27';'11';'2015';1);;
(1551485;'Vincent';'27';'11';'2015';1);;
(1551375;'Vincent';'26';'11';'2015';1);;
(1551347;'Vincent';'26';'11';'2015';1);;
(1551334;'Vincent';'26';'11';'2015';1);;
(1551332;'Vincent';'26';'11';'2015';4);;
(1551313;'Vincent';'26';'11';'2015';4);;
(1551307;'Thomas';'26';'11';'2015';1);;
(1551294;'Vincent';'26';'11';'2015';4);;
(1551249;'Vincent';'26';'11';'2015';5);;
(1551248;'Vincent';'26';'11';'2015';5);;
(1551105;'Thomas';'26';'11';'2015';1);;
(1551061;'Vincent';'26';'11';'2015';3);;
(1550863;'Thomas';'25';'11';'2015';1);;
(1550724;'Thomas';'25';'11';'2015';1);;
(1550591;'Thomas';'25';'11';'2015';3);;
(1550580;'Thomas';'25';'11';'2015';1);;
(1550503;'Thomas';'25';'11';'2015';1);;
(1550097;'Vincent';'24';'11';'2015';3);;
(1550089;'Thomas';'24';'11';'2015';2);;
(1550060;'Vincent';'24';'11';'2015';4);;
(1550046;'Vincent';'24';'11';'2015';4);;
(1549398;'Thomas';'23';'11';'2015';1);;
(1549355;'/OU=Domain;Control;Validated/CN=svn.company.net';'23';'11';'2015';1)
(1549331;'Thomas';'23';'11';'2015';1);;
(1549294;'Jimmy';'23';'11';'2015';2);;
(1549111;'Thomas';'23';'11';'2015';1);;
(1548946;'Vincent';'23';'11';'2015';5);;
(1548632;'Thomas';'20';'11';'2015';1);;
(1548595;'Thomas';'20';'11';'2015';1);;
(1548398;'Thomas';'20';'11';'2015';1);;
(1548384;'Thomas';'20';'11';'2015';1);;
(1548364;'Thomas';'20';'11';'2015';2);;
(1548358;'Thomas';'20';'11';'2015';2);;
(1548357;'Thomas';'20';'11';'2015';2);;
(1548355;'Thomas';'20';'11';'2015';2);;
(1548352;'Thomas';'20';'11';'2015';2);;
(1548350;'Thomas';'20';'11';'2015';2);;
(1548342;'Thomas';'20';'11';'2015';2);;
(1548336;'Thomas';'20';'11';'2015';2);;
(1547894;'/OU=Domain;Control;Validated/CN=svn.company.net';'19';'11';'2015';1)
(1547749;'Freddie';'19';'11';'2015';2);;
(1547748;'Jimmy';'19';'11';'2015';1);;
(1547738;'Jimmy';'19';'11';'2015';1);;
(1547683;'Jimmy';'19';'11';'2015';1);;
(1547493;'Vincent';'19';'11';'2015';4);;
